Id,Front,Item A,Item B,Legs,Pilot,Rarity,Rarity (percent),Serial Number,Theme,Top,Price
4603,Ironclaw,Peacekeeper,Ravager,Renegade,Bull,D,0.4924,213614007840602471,C.A.T.,Skyhammer,
4604,Ironclaw,No Item,Ravager,Buster,Black Pupper,C,0.2973,065221359877364203,Red,Infiltrator,
4605,Skyhammer,Breaker,No Item,Ironclaw,White Pupper,C,0.2973,845188989449330088,Maverick,Ironclaw,
4606,Ravager,Renegade,No Item,Breaker,Corgi,D,0.4924,706603463303558492,Spec. Ops,Ravager,0.225
4607,Breaker,Infiltrator,Buster,Peacekeeper,Orange Cat,D,0.4924,843948972602183664,Maverick,Ironclaw,
4608,Breaker,No Item,Deep Fried,Renegade,Blue Whale,S,0.0296,751452109600800003,Red,Spyder,
4609,Skyhammer,Deep Fried,Breaker,Ironclaw,White Pupper,C,0.2973,420001783420772058,Royal,Infiltrator,0.2445
4610,Ravager,No Item,Buster,Infiltrator,Dobermann,C,0.2973,605405013388364838,Spec. Ops,Buster,0.1475
4611,Ironclaw,Deep Fried,Peacekeeper,Buster,Bear,D,0.4924,280019352870324905,Puff,Deep Fried,0.1465
4612,Ironclaw,Ravager,No Item,Breaker,Grey Wolf,D,0.4924,772292564836001420,Ghost,Spyder,0.144
4613,Spyder,No Item,Deep Fried,Spyder,Purple Frog,C,0.2973,247219825211301225,Hero,Deep Fried,0.137
4614,Breaker,Buster,Buster,Ironclaw,Black Horse,D,0.4924,140888784672248512,Mint,Ironclaw,0.127
4615,Peacekeeper,No Item,No Item,Ironclaw,Rooster,D,0.4924,843845788777880002,Orng,Buster,0.1724
4616,Renegade,No Item,Peacekeeper,Ironclaw,Red Panda,S,0.0296,276303380033487201,Hero,Ravager,0.3973
4617,Ironclaw,No Item,Peacekeeper,Ironclaw,Chicken,C,0.2973,426655085822084843,Hero,Buster,0.1047
4618,Renegade,No Item,Ironclaw,Peacekeeper,Salmon,C,0.2973,603973075000549007,Hero,Ravager,0.1205
4619,Buster,Spyder,No Item,Skyhammer,Golden Pupper,D,0.4924,568079546584226391,Dune,Deep Fried,0.1105
4620,Peacekeeper,Spyder,No Item,Renegade,Black Shiba,C,0.2973,780071004748334854,Snes,Infiltrator,
4621,Skyhammer,Skyhammer,No Item,Deep Fried,Boar,D,0.4924,282431191495334521,Guardian,Infiltrator,
4622,Infiltrator,No Item,Breaker,Spyder,Turkey,C,0.2973,362092521144288403,Red,Spyder,0.1475
4623,Buster,Infiltrator,Peacekeeper,Ravager,Bull,D,0.4924,842847431576084824,Snes,Peacekeeper,
4624,Ravager,No Item,Ravager,Infiltrator,Black Moose,B,0.0992,707258712377048468,Ghost,Ironclaw,0.13
4625,Deep Fried,Ironclaw,No Item,Breaker,Zebra,B,0.0992,101271569972334216,Maverick,Infiltrator,0.11
4626,Ravager,No Item,Breaker,Skyhammer,Black Pupper,C,0.2973,366446547311217754,High Tide,Breaker,0.06
4627,Spyder,Skyhammer,No Item,Buster,German Shepherd,C,0.2973,901632452200557092,Ghost,Spyder,
4628,Spyder,Deep Fried,Spyder,Renegade,Boid,C,0.2973,787603605240759144,Ghost,Ravager,0.2
4629,Breaker,Deep Fried,Deep Fried,Ravager,Penguin,B,0.0992,507060039670106542,Mint,Renegade,0.1544
4630,Skyhammer,Infiltrator,Infiltrator,Renegade,Orange Cat,D,0.4924,216547000404047789,Grape,Peacekeeper,0.188
4631,Buster,Breaker,Deep Fried,Infiltrator,Orange Hamster,D,0.4924,002836119577400620,Spec. Ops,Breaker,0.1537
4632,Buster,No Item,No Item,Infiltrator,Collie,D,0.4924,560549413522889088,Idol,Deep Fried,
4633,Skyhammer,No Item,Deep Fried,Skyhammer,Peacock,B,0.0992,207551941400904918,Orng,Infiltrator,
4634,Spyder,Deep Fried,Ironclaw,Renegade,Golden Pupper,D,0.4924,910827709250360021,Red,Peacekeeper,
4635,Breaker,No Item,Ironclaw,Deep Fried,White Pupper,C,0.2973,121775095666547885,Hero,Buster,0.1399
4636,Deep Fried,Spyder,Spyder,Peacekeeper,Doge,B,0.0992,209249173981426581,Guardian,Deep Fried,0.139
4637,Buster,No Item,Infiltrator,Spyder,Green Frog,D,0.4924,212730624555089372,Gb,Renegade,0.1663
4638,Spyder,No Item,Breaker,Ironclaw,White Pupper,C,0.2973,360019083222004233,Red,Deep Fried,0.1416
4639,Infiltrator,No Item,Skyhammer,Renegade,Prince Cat,D,0.4924,076445602122759104,Ghost,Buster,0.05
4640,Ravager,Renegade,Peacekeeper,Peacekeeper,Grey Wolf,D,0.4924,002202376323320061,Puff,Spyder,0.1163
4641,Renegade,No Item,No Item,Infiltrator,Orange Cat,D,0.4924,842654518055119022,Maverick,Skyhammer,0.05
4642,Ravager,Ravager,Ravager,Spyder,Tiger,C,0.2973,365624927392687871,C.A.T.,Skyhammer,0.12
4643,Spyder,No Item,Renegade,Ravager,Bulldog,A,0.0593,288877130244237290,Snes,Peacekeeper,0.139
4644,Renegade,No Item,No Item,Breaker,Grey Wolf,D,0.4924,287740968088887879,Mobile Suit,Renegade,
4645,Ravager,Renegade,Infiltrator,Ravager,Blue Macaw,A,0.0593,680011135393784072,Nero,Infiltrator,0.1499
4646,Deep Fried,Skyhammer,Deep Fried,Deep Fried,Bull,D,0.4924,421233097995803008,Spec. Ops,Ravager,0.1675
4647,Ironclaw,Deep Fried,No Item,Renegade,Tan Frenchie,A,0.0593,888499808870770039,Corps,Deep Fried,0.22
4648,Infiltrator,Ravager,Ironclaw,Buster,Grey Wolf,D,0.4924,072204758100091242,Snes,Skyhammer,0.2094
4649,Deep Fried,Deep Fried,No Item,Ravager,Rottweiler,D,0.4924,568045132930220303,Mobile Suit,Buster,0.1644
4650,Deep Fried,Peacekeeper,Spyder,Buster,Indigo Centipede,B,0.0992,703027851940185650,Orng,Peacekeeper,0.1
4651,Spyder,No Item,Deep Fried,Renegade,Boid,C,0.2973,785787508222501896,Nebula,Peacekeeper,0.17
4652,Spyder,No Item,Spyder,Deep Fried,Black Pupper,C,0.2973,607594091233333625,Hero,Skyhammer,0.065
4653,Ironclaw,No Item,Ironclaw,Renegade,Green Frog,D,0.4924,565433702877545207,Royal,Ravager,0.15
4654,Renegade,No Item,No Item,Breaker,Orange Hamster,D,0.4924,910022961033334264,Seal,Spyder,0.06
4655,Breaker,Renegade,No Item,Buster,Great White,C,0.2973,246025956665664075,Crimson,Buster,0.095
4656,Renegade,No Item,Deep Fried,Spyder,Black Pupper,C,0.2973,546796924022609021,Red,Breaker,0.149
4657,Spyder,No Item,Breaker,Ravager,Turkey,C,0.2973,908084432211497738,High Tide,Skyhammer,0.149
4658,Ravager,Deep Fried,No Item,Ironclaw,Great White,C,0.2973,362014380390221202,Spec. Ops,Skyhammer,0.1375
4659,Peacekeeper,Infiltrator,No Item,Infiltrator,Bengal Cat,C,0.2973,900017918734113077,C.A.T.,Peacekeeper,
4660,Spyder,Breaker,Spyder,Breaker,Dobermann,C,0.2973,423699768263723501,Grape,Deep Fried,
4661,Ironclaw,No Item,Ironclaw,Deep Fried,Staffie,D,0.4924,350050495888360015,Red,Renegade,
4662,Deep Fried,Breaker,Renegade,Ravager,Canadian Goose,D,0.4924,145048536970493694,Maverick,Ironclaw,
4663,Breaker,No Item,No Item,Buster,Python,D,0.4924,213441857633002639,Rubber Duck,Infiltrator,0.5703
4664,Peacekeeper,Skyhammer,No Item,Renegade,Tan Frenchie,A,0.0593,884840301715228457,Nero,Renegade,0.199
4665,Skyhammer,No Item,No Item,Breaker,Staffie,D,0.4924,560007064477113532,Seal,Peacekeeper,0.1553
4666,Renegade,No Item,No Item,Breaker,Python,D,0.4924,846880469011880793,Puff,Renegade,
4667,Renegade,Ravager,Ravager,Skyhammer,Purple Frog,C,0.2973,782441648092960747,Corps,Infiltrator,
4668,Ravager,Infiltrator,Buster,Ravager,Golden Pupper,D,0.4924,704048133332545691,Dune,Ironclaw,
4669,Buster,No Item,Ravager,Spyder,Cream Frenchie,B,0.0992,402725621511325474,Spec. Ops,Buster,
4670,Ironclaw,Ironclaw,Ironclaw,Peacekeeper,Black Dragon,S+,0.01,980004470800816981,8008,Skyhammer,1
4671,Deep Fried,No Item,No Item,Spyder,Mako Shark,D,0.4924,702426322966118477,C.A.T.,Breaker,0.0588
4672,Ironclaw,Peacekeeper,No Item,Spyder,Pig,D,0.4924,636011428816884510,Crimson,Infiltrator,0.0595
4673,Buster,Ravager,No Item,Ironclaw,Brown Mouse,C,0.2973,180061289588447085,Puff,Infiltrator,0.1885
4674,Skyhammer,Renegade,Breaker,Spyder,Peacock,B,0.0992,551545626482286345,Puff,Buster,0.139
4675,,,,,,,,,,,
4676,Deep Fried,Deep Fried,No Item,Renegade,Orange Hamster,D,0.4924,705671308970556306,High Tide,Infiltrator,0.1009
4677,Deep Fried,No Item,No Item,Renegade,Cave Bat,D,0.4924,564885500977660787,Corps,Buster,0.068
4678,Ravager,No Item,No Item,Deep Fried,Blaze,D,0.4924,843623593333330758,Orng,Ravager,0.0628
4679,Deep Fried,No Item,Peacekeeper,Renegade,Orange Cat,D,0.4924,215240503922320740,Seal,Renegade,0.057
4680,Renegade,Ironclaw,Ironclaw,Deep Fried,White Dragon,S+,0.01,141314394045546311,Dune,Skyhammer,0.77
4681,Skyhammer,Infiltrator,No Item,Peacekeeper,Bengal Cat,C,0.2973,360034579412227723,Corps,Skyhammer,0.0787
4682,Deep Fried,Renegade,No Item,Peacekeeper,Centipede,C,0.2973,907559973963443038,Spec. Ops,Deep Fried,0.109
4683,Breaker,No Item,No Item,Buster,Pig,D,0.4924,913023052666888403,Dune,Ravager,0.076
4684,Skyhammer,No Item,Buster,Spyder,Snake,D,0.4924,426305329466720786,High Tide,Buster,0.112
4685,Renegade,No Item,No Item,Buster,Mako Shark,D,0.4924,702443150022885284,Nero,Ravager,0.174
4686,Skyhammer,No Item,Deep Fried,Infiltrator,Fruit Bat,C,0.2973,185477318433505632,Seal,Peacekeeper,
4687,Spyder,No Item,Buster,Deep Fried,Fruit Bat,C,0.2973,301863494222061492,Ghost,Ravager,0.23
4688,Skyhammer,No Item,Renegade,Peacekeeper,Brown Mouse,C,0.2973,481668670433480756,Seal,Ironclaw,
4689,Skyhammer,Spyder,No Item,Deep Fried,Polar Bear,B,0.0992,250082295442550061,Hero,Spyder,0.09
4690,Ironclaw,Buster,Spyder,Skyhammer,Blue Macaw,A,0.0593,560088145824216648,Snes,Ironclaw,
4691,Spyder,Ironclaw,No Item,Ironclaw,Capybara,A,0.0593,248446187245557885,Hero,Breaker,0.227
4692,Ravager,Breaker,No Item,Infiltrator,Boar,D,0.4924,637803816363884963,Corps,Ravager,0.155
4693,Renegade,Ironclaw,Peacekeeper,Ravager,Giraffe,A,0.0593,081563133054323677,C.A.T.,Ravager,1
4694,Ravager,No Item,No Item,Skyhammer,Boar,D,0.4924,704219642355228813,Royal,Deep Fried,
4695,Ironclaw,Ravager,No Item,Renegade,Boar,D,0.4924,357864103836440794,High Tide,Skyhammer,
4696,Peacekeeper,Ravager,Deep Fried,Peacekeeper,Boar,D,0.4924,770640979780804223,Corps,Renegade,0.125
4697,Infiltrator,No Item,No Item,Renegade,Rooster,D,0.4924,561997807122009621,Nero,Peacekeeper,0.1284
4698,Ravager,Renegade,Renegade,Spyder,Staffie,D,0.4924,910088222397839623,Camo,Ironclaw,0.119
4699,Deep Fried,No Item,Renegade,Ravager,Zebra,B,0.0992,650081332988143002,Spec. Ops,Infiltrator,
4700,Infiltrator,No Item,Peacekeeper,Skyhammer,Black Shiba,C,0.2973,008088046166407797,Grape,Ironclaw,0.148
4701,Peacekeeper,No Item,Spyder,Infiltrator,Blue Macaw,A,0.0593,600073117777573609,Red,Ravager,
4702,Ironclaw,Skyhammer,No Item,Ironclaw,Brown Moose,C,0.2973,124864989865552137,Puff,Skyhammer,0.1933
4703,Renegade,Renegade,Spyder,Breaker,Corgi,D,0.4924,913654969086753589,Grape,Skyhammer,0.16
4704,Breaker,Ravager,Ravager,Renegade,Black Widow,S,0.0296,150007709684684295,Corps,Peacekeeper,0.3149
4705,Breaker,No Item,No Item,Deep Fried,Prince Cat,D,0.4924,633212698655220053,Puff,Spyder,0.149
4706,Renegade,Skyhammer,No Item,Peacekeeper,Fox,D,0.4924,073596579015882893,Puff,Breaker,
4707,Ironclaw,Ravager,No Item,Ravager,Green Frog,D,0.4924,078176937836338551,Guardian,Breaker,
4708,Buster,Ravager,Ironclaw,Renegade,Green Macaw,A,0.0593,527626008500098413,Puff,Breaker,
4709,Ravager,No Item,Breaker,Spyder,Pig,D,0.4924,910083429388421567,Mint,Ravager,0.175
4710,Ironclaw,No Item,Buster,Renegade,Neon Centipede,S,0.0296,361098500822062004,Phantom,Ironclaw,
4711,Renegade,No Item,Breaker,Skyhammer,Rottweiler,D,0.4924,568093246044912183,Dune,Ravager,0.23
4712,Ironclaw,Renegade,No Item,Spyder,Green Frog,D,0.4924,910025022883228404,Maverick,Buster,0.29
4713,Ironclaw,No Item,Spyder,Buster,Loxy Doge,B,0.0992,954811250866306091,Hero,Infiltrator,
4714,Infiltrator,Peacekeeper,Breaker,Buster,Black Pupper,C,0.2973,725047453132637739,Corps,Peacekeeper,
4715,Ravager,Skyhammer,Ironclaw,Ravager,Clover,C,0.2973,427066532300271479,Corps,Breaker,0.179
4716,Infiltrator,No Item,Deep Fried,Spyder,Cave Bat,D,0.4924,427262921100704855,Hero,Spyder,0.1789
4717,Deep Fried,Peacekeeper,Ironclaw,Peacekeeper,Pug,B,0.0992,851633877940815693,Puff,Ravager,0.1799
4718,Infiltrator,No Item,Deep Fried,Renegade,Blaze,D,0.4924,916271709133504863,Red,Infiltrator,0.1799
4719,Ironclaw,No Item,No Item,Buster,Grey Wolf,D,0.4924,280019959800440026,Spec. Ops,Deep Fried,0.1788
4720,Infiltrator,No Item,Skyhammer,Skyhammer,Clover,C,0.2973,420030140111459172,Seal,Renegade,0.22
4721,Skyhammer,Breaker,No Item,Renegade,Tuxedo Cat,C,0.2973,661641303470006381,Grape,Infiltrator,
4722,Skyhammer,Infiltrator,No Item,Buster,Blue Spider,B,0.0992,908247757446887536,Gb,Peacekeeper,0.149
4723,Renegade,Infiltrator,No Item,Ravager,Indigo Centipede,B,0.0992,204516930072002103,Dune,Breaker,0.169
4724,Ironclaw,Infiltrator,Ironclaw,Skyhammer,Fruit Bat,C,0.2973,840023740884188469,Puff,Ravager,0.119
4725,Renegade,No Item,Skyhammer,Breaker,Indigo Centipede,B,0.0992,456541965066004956,Seal,Infiltrator,0.144
4726,Ironclaw,No Item,Skyhammer,Deep Fried,Bear,D,0.4924,840008899866053096,Snes,Ironclaw,0.1597
4727,Ravager,Ravager,No Item,Peacekeeper,Loxy Doge,B,0.0992,156651471372007532,Mint,Infiltrator,0.15
4728,Spyder,Ravager,Peacekeeper,Skyhammer,Boar,D,0.4924,425471948200880077,Camo,Infiltrator,0.2
4729,Spyder,Spyder,Infiltrator,Skyhammer,Red Frog,A,0.0593,163009245227581230,Snes,Deep Fried,
4730,Ironclaw,Skyhammer,Buster,Renegade,Boid,C,0.2973,360093208850066444,Camo,Ravager,0.122
4731,Ironclaw,No Item,Breaker,Spyder,Hare,C,0.2973,546677520877351494,High Tide,Peacekeeper,0.1023
4732,Ravager,No Item,Breaker,Skyhammer,Loxy Doge,B,0.0992,351877140355915446,Maverick,Peacekeeper,0.153
4733,Renegade,Breaker,Deep Fried,Breaker,Rottweiler,D,0.4924,420080062084309672,Nero,Renegade,0.154
4734,Peacekeeper,No Item,Renegade,Infiltrator,Orange Cat,D,0.4924,495288517744921406,High Tide,Ironclaw,0.1775
4735,Buster,No Item,No Item,Ironclaw,Prince Cat,D,0.4924,846404789555000055,Royal,Skyhammer,0.249
4736,Skyhammer,No Item,Deep Fried,Ravager,Prince Cat,D,0.4924,563253232477504253,Puff,Ravager,
4737,Spyder,Ravager,No Item,Deep Fried,Centipede,C,0.2973,303512197220224991,Dune,Spyder,
4738,Breaker,Peacekeeper,Ironclaw,Ironclaw,Doge,B,0.0992,054086987672000756,Seal,Breaker,
4739,Renegade,Breaker,No Item,Ravager,Fox,D,0.4924,286324336028221455,Corps,Skyhammer,
4740,Skyhammer,Renegade,No Item,Deep Fried,Corgi,D,0.4924,707849992436332111,Dune,Deep Fried,
4741,Breaker,No Item,Ironclaw,Deep Fried,Fox,D,0.4924,566348092666368029,Phantom,Ironclaw,0.08
4742,Buster,Peacekeeper,No Item,Peacekeeper,Raccoon,B,0.0992,857044178572114838,Spec. Ops,Skyhammer,
4743,Deep Fried,Peacekeeper,No Item,Ironclaw,Collie,D,0.4924,072042787940882821,Puff,Spyder,
4744,Renegade,Peacekeeper,Breaker,Ironclaw,Python,D,0.4924,910029281040630799,Dune,Deep Fried,
4745,Deep Fried,Renegade,No Item,Buster,Black Moose,B,0.0992,950867553996009123,Corps,Peacekeeper,
4746,Renegade,No Item,Deep Fried,Peacekeeper,Brown Mouse,C,0.2973,243621574044008497,Grape,Infiltrator,
4747,Buster,Spyder,No Item,Peacekeeper,Prince Cat,D,0.4924,071691379581557531,Guardian,Infiltrator,0.095
4748,Skyhammer,Deep Fried,No Item,Skyhammer,Orange Cat,D,0.4924,631309141450220063,Red,Deep Fried,0.13
4749,Ironclaw,Peacekeeper,No Item,Renegade,Turkey,C,0.2973,004032101840445646,High Tide,Spyder,0.1147
4750,Infiltrator,Peacekeeper,No Item,Ravager,Centipede,C,0.2973,483088337164446016,Maverick,Ironclaw,0.131
4751,Renegade,Skyhammer,No Item,Skyhammer,Turkey,C,0.2973,842027145000224232,Seal,Peacekeeper,0.125
4752,Renegade,No Item,No Item,Breaker,Bull,D,0.4924,912828062011441254,Snes,Ironclaw,0.179
4753,Infiltrator,No Item,Skyhammer,Buster,Fox,D,0.4924,353541155177555452,Maverick,Infiltrator,0.129
4754,Ironclaw,Renegade,Renegade,Deep Fried,Blue Whale,S,0.0296,638263597834255690,Nero,Ravager,0.3181
4755,Deep Fried,Renegade,No Item,Ravager,Salmon,C,0.2973,783971531967002862,High Tide,Infiltrator,0.13
4756,Peacekeeper,Buster,No Item,Ironclaw,White Mouse,D,0.4924,496948389754551417,Grape,Ironclaw,0.13
4757,Renegade,Breaker,No Item,Spyder,Mako Shark,D,0.4924,143671226049009188,Seal,Infiltrator,0.17
4758,Breaker,No Item,No Item,Deep Fried,Golden Pupper,D,0.4924,772448092655227035,Dune,Ironclaw,0.13
4759,Buster,No Item,Skyhammer,Deep Fried,Python,D,0.4924,006851392588306872,Nebula,Infiltrator,0.315
4760,Buster,Buster,Infiltrator,Buster,Cave Bat,D,0.4924,702451958572141894,Maverick,Infiltrator,0.13
4761,Infiltrator,Breaker,Skyhammer,Buster,Pig,D,0.4924,427528155121409055,Hero,Ironclaw,0.13
4762,Ironclaw,Ravager,Skyhammer,Buster,Cave Bat,D,0.4924,002472852820850005,Camo,Spyder,0.13
4763,Peacekeeper,No Item,Infiltrator,Spyder,Python,D,0.4924,560040521788622897,Grape,Renegade,0.1533
4764,Ironclaw,Infiltrator,Deep Fried,Spyder,Orange Hamster,D,0.4924,705663726862307061,Puff,Ravager,
4765,Ironclaw,Skyhammer,Peacekeeper,Skyhammer,Grey Hamster,D,0.4924,215032548875086041,C.A.T.,Spyder,
4766,Deep Fried,Peacekeeper,No Item,Buster,Orange Cat,D,0.4924,637898851988220030,High Tide,Ironclaw,
4767,Spyder,No Item,Peacekeeper,Spyder,Tiger,C,0.2973,242829021244169189,Grape,Deep Fried,0.229
4768,Ironclaw,Ironclaw,No Item,Renegade,Black Horse,D,0.4924,357940103863110571,Guardian,Renegade,0.116
4769,Renegade,No Item,No Item,Ravager,Blaze,D,0.4924,634202737011661445,Puff,Spyder,0.194
4770,Ironclaw,No Item,Deep Fried,Buster,Sloth,B,0.0992,650057155822102449,Hero,Peacekeeper,
4771,Buster,Renegade,No Item,Renegade,Snake,D,0.4924,630031602544553376,Gb,Infiltrator,
4772,Infiltrator,No Item,Peacekeeper,Infiltrator,Lion Monkey,A,0.0593,846339618188083065,C.A.T.,Deep Fried,0.184
4773,Skyhammer,No Item,Renegade,Skyhammer,Black Pupper,C,0.2973,303472049400948410,Orng,Spyder,0.2
4774,Breaker,Ravager,Skyhammer,Breaker,Koi,A,0.0593,926062669696951403,Dune,Spyder,
4775,Spyder,No Item,Breaker,Renegade,Rottweiler,D,0.4924,074042405211495692,Ghost,Spyder,
4776,Renegade,Ironclaw,Peacekeeper,Buster,Panda,A,0.0593,169033456018884981,Grape,Ravager,
4777,Renegade,Peacekeeper,No Item,Peacekeeper,Corgi,D,0.4924,704823477000110047,Mint,Ravager,
4778,Renegade,No Item,Infiltrator,Ravager,Black Shiba,C,0.2973,426837834066180025,Hero,Peacekeeper,
4779,Skyhammer,Renegade,No Item,Renegade,Cave Bat,D,0.4924,002476108485113583,Dune,Breaker,0.0654
4780,Breaker,No Item,Infiltrator,Peacekeeper,Brown Mouse,C,0.2973,901662470688267889,C.A.T.,Spyder,0.19
4781,Deep Fried,No Item,Peacekeeper,Spyder,White Squid,S,0.0296,840011520900081498,Orng,Infiltrator,0.1318
4782,Spyder,Peacekeeper,Ravager,Ravager,Centipede,C,0.2973,066091232240724230,High Tide,Infiltrator,0.1908
4783,Breaker,No Item,No Item,Ravager,Cave Bat,D,0.4924,074838332655554281,Red,Ironclaw,0.08
4784,Infiltrator,Buster,No Item,Buster,Great White,C,0.2973,364093553112882834,Orng,Ravager,0.159
4785,Deep Fried,Deep Fried,Breaker,Spyder,Staffie,D,0.4924,072202020940144018,Idol,Spyder,0.18
4786,Spyder,Spyder,No Item,Deep Fried,Rottweiler,D,0.4924,840005899257449547,Mint,Buster,0.124
4787,Deep Fried,No Item,Buster,Skyhammer,Flamingo,A,0.0593,762618942944008075,Nero,Ironclaw,0.6
4788,Ravager,Buster,No Item,Ravager,Penguin,B,0.0992,506341834318444802,Spec. Ops,Infiltrator,
4789,Ironclaw,No Item,Deep Fried,Breaker,Boar,D,0.4924,845453160833305665,Grape,Ravager,0.2
4790,Breaker,No Item,Renegade,Breaker,German Shepherd,C,0.2973,368028668600179110,Orng,Ironclaw,0.1233
4791,Peacekeeper,Deep Fried,No Item,Ravager,Koi,A,0.0593,967828731740446384,Ghost,Ironclaw,0.15
4792,Peacekeeper,Renegade,Renegade,Buster,Platypus,S,0.0296,480058453739083637,Hero,Ironclaw,0.65
4793,Peacekeeper,No Item,Infiltrator,Buster,Bull,D,0.4924,212815053744323514,High Tide,Buster,0.15
4794,Ironclaw,Deep Fried,No Item,Breaker,Corgi,D,0.4924,350018269850110595,Crimson,Ironclaw,
4795,Buster,No Item,Buster,Buster,Pug,B,0.0992,852406555500780606,Snes,Breaker,0.28
4796,Ravager,No Item,Ironclaw,Renegade,Rabbit,D,0.4924,421879004344634868,Spec. Ops,Deep Fried,0.16
4797,Deep Fried,Renegade,Skyhammer,Breaker,Lion Monkey,A,0.0593,604970567979459124,Seal,Renegade,
4798,Ravager,No Item,Skyhammer,Infiltrator,Turkey,C,0.2973,548006414333905490,Snes,Breaker,0.138
4799,Deep Fried,Deep Fried,Deep Fried,Ravager,Blaze,D,0.4924,914241535910504260,Snes,Infiltrator,0.138
4800,Spyder,Spyder,Breaker,Infiltrator,Golden Pupper,D,0.4924,350894915236007235,C.A.T.,Skyhammer,0.1
4801,Peacekeeper,Deep Fried,Skyhammer,Deep Fried,Rottweiler,D,0.4924,356026292710154950,Orng,Breaker,0.059
4802,Ravager,Ravager,No Item,Ravager,Mako Shark,D,0.4924,701225333316007222,Maverick,Buster,0.069
4803,Buster,No Item,Renegade,Ironclaw,White Mouse,D,0.4924,706919184511006501,Guardian,Deep Fried,0.059
4804,Renegade,No Item,Renegade,Ravager,Snake,D,0.4924,844272439033481203,Red,Spyder,0.119
4805,Skyhammer,Breaker,Breaker,Renegade,Tiger,C,0.2973,481436903421003060,Snes,Breaker,0.079
4806,Breaker,No Item,Breaker,Peacekeeper,Snake,D,0.4924,636389279622213505,Puff,Deep Fried,
4807,Buster,No Item,No Item,Infiltrator,Mako Shark,D,0.4924,142457314566770778,High Tide,Peacekeeper,
4808,Peacekeeper,Buster,No Item,Buster,Purple Frog,C,0.2973,182413252724220076,Ghost,Ravager,
4809,Buster,Skyhammer,Deep Fried,Infiltrator,German Shepherd,C,0.2973,425636910585802464,Maverick,Breaker,
4810,Infiltrator,No Item,Ironclaw,Skyhammer,Brown Moose,C,0.2973,369356644155183080,Spec. Ops,Breaker,
4811,Deep Fried,Deep Fried,No Item,Ravager,German Shepherd,C,0.2973,003257333960114079,Phantom,Peacekeeper,
4812,Breaker,No Item,No Item,Peacekeeper,Canadian Goose,D,0.4924,560092979622113532,Seal,Spyder,
4813,Spyder,No Item,Skyhammer,Ironclaw,Pig,D,0.4924,214584786244550004,Ghost,Skyhammer,0.15
4814,Breaker,Skyhammer,No Item,Buster,Capybara,A,0.0593,529884659650337809,Red,Skyhammer,0.13
4815,Infiltrator,No Item,Peacekeeper,Skyhammer,Tuna,C,0.2973,844508744122487792,Ghost,Ironclaw,0.135
4816,Breaker,No Item,No Item,Ironclaw,Green Frog,D,0.4924,140078083644447782,Orng,Ironclaw,0.13
4817,Ironclaw,No Item,No Item,Renegade,Orange Cat,D,0.4924,566593301844007777,Puff,Ravager,0.1815
4818,Buster,No Item,Ravager,Deep Fried,Cream Frenchie,B,0.0992,255472391544489696,Nero,Spyder,0.1375
4819,Spyder,Renegade,No Item,Infiltrator,Blue Spider,B,0.0992,104051913217331405,Puff,Infiltrator,0.1345
4820,Deep Fried,No Item,No Item,Buster,Blaze,D,0.4924,707054457977226072,Snes,Skyhammer,0.1253
4821,Ravager,No Item,No Item,Buster,Cave Bat,D,0.4924,567222753366006307,Corps,Spyder,0.185
4822,Ravager,Peacekeeper,Deep Fried,Skyhammer,Golden Pupper,D,0.4924,494029043372104286,High Tide,Deep Fried,0.13
4823,Ravager,Skyhammer,Infiltrator,Peacekeeper,Boid,C,0.2973,481934174345846673,Hero,Skyhammer,0.1425
4824,Breaker,Breaker,Breaker,Buster,Blue Whale,S,0.0296,759045651677004287,Corps,Buster,0.3085
4825,Renegade,Infiltrator,No Item,Ravager,Python,D,0.4924,491799335030009822,Albino,Deep Fried,0.145
4826,Deep Fried,No Item,Deep Fried,Renegade,Tuna,C,0.2973,364544901900204854,Snes,Skyhammer,
4827,Spyder,No Item,Peacekeeper,Skyhammer,Chicken,C,0.2973,788491446255641483,Dune,Infiltrator,
4828,Skyhammer,No Item,Ravager,Ironclaw,Panda,A,0.0593,605443583411763279,Royal,Ravager,
4829,Infiltrator,No Item,Peacekeeper,Ravager,Brown Mouse,C,0.2973,607215436188801407,Corps,Buster,
4830,Spyder,Ravager,Renegade,Renegade,Snake,D,0.4924,636371807216737623,Camo,Infiltrator,0.2
4831,Peacekeeper,Peacekeeper,Skyhammer,Buster,Raccoon,B,0.0992,854099850700107846,Maverick,Deep Fried,0.32
4832,Buster,No Item,Ironclaw,Deep Fried,Koala,A,0.0593,841568195522453545,Puff,Ironclaw,
4833,Skyhammer,No Item,No Item,Peacekeeper,Bull,D,0.4924,847689870422002401,Hero,Deep Fried,0.1419
4834,Ravager,No Item,Spyder,Ironclaw,Great White,C,0.2973,066003486377092836,Ghost,Ravager,0.08
4835,Ravager,Skyhammer,Skyhammer,Spyder,Grey Wolf,D,0.4924,497711327380956452,Nebula,Infiltrator,0.85
4836,Ravager,Infiltrator,Infiltrator,Deep Fried,Collie,D,0.4924,779536293328503604,Maverick,Breaker,0.2055
4837,Renegade,Buster,No Item,Renegade,Bengal Cat,C,0.2973,360075307030551496,Seal,Buster,0.1405
4838,Peacekeeper,No Item,Ironclaw,Ironclaw,Clover,C,0.2973,368409186722630742,Orng,Deep Fried,
